,piece_title,group_number,pattern_generating_match,pattern_matched,part,start_measure,start_beat,start_offset,entry_number,offset_diffs,predicted_type
123,Ave Maria,11,"(-2, -2, 2, 2, -2)","(-2, -2, 2, 2, -2)",Bassus,117,1.0,992.0,4,"[180.0, 315.0, 276.0, 64.0]",Fuga
124,Ave Maria,11,"(-2, -2, 2, 2, -2)","(-2, -2, 2, 2, -2)",Bassus,125,1.0,1056.0,5,"[180.0, 315.0, 276.0, 64.0]",Fuga
192,Ave Maria,12,"(-2, 1, 3, -2, -2)","(-2, 1, 3, -2, -2)",[Superius],113,2.5,963.0,1,"[28.0, 36.0, 28.0]",ID
194,Ave Maria,12,"(-2, 1, 3, -2, -2)","(-2, 1, 3, -2, -2)",Tenor,116,4.5,991.0,2,"[28.0, 36.0, 28.0]",ID
193,Ave Maria,12,"(-2, 1, 3, -2, -2)","(-2, 1, 3, -2, -2)",[Superius],121,2.5,1027.0,3,"[28.0, 36.0, 28.0]",ID
195,Ave Maria,12,"(-2, 1, 3, -2, -2)","(-2, 1, 3, -2, -2)",Tenor,124,4.5,1055.0,4,"[28.0, 36.0, 28.0]",ID
129,Ave Maria,13,"(-2, 2, 2, -3, -2)","(-2, 2, 2, -3, -2)",[Superius],55,1.0,432.0,1,"[4.0, 36.0, 4.0]",ID
130,Ave Maria,13,"(-2, 2, 2, -3, -2)","(-2, 2, 2, -3, -2)",Altus,55,3.0,436.0,2,"[4.0, 36.0, 4.0]",ID
131,Ave Maria,13,"(-2, 2, 2, -3, -2)","(-2, 2, 2, -3, -2)",Tenor,60,1.0,472.0,3,"[4.0, 36.0, 4.0]",ID
132,Ave Maria,13,"(-2, 2, 2, -3, -2)","(-2, 2, 2, -3, -2)",Bassus,60,3.0,476.0,4,"[4.0, 36.0, 4.0]",ID
38,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",[Superius],40,3.0,316.0,1,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
44,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",Tenor,40,3.0,316.0,2,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
39,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",[Superius],84,1.0,664.0,3,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
42,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",Altus,94,1.0,744.0,4,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
43,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",Altus,98,1.0,792.0,5,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
40,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",[Superius],111,3.0,940.0,6,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
45,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",Tenor,114,1.0,968.0,7,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
41,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",[Superius],119,3.0,1004.0,8,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
46,Ave Maria,14,"(1, 1, 2, -2, -2)","(1, 1, 2, -2, -2)",Tenor,122,1.0,1032.0,9,"[0.0, 348.0, 80.0, 48.0, 148.0, 28.0, 36.0, 28.0]",Fuga
164,Ave Maria,15,"(1, 1, 2, 1, 2)","(1, 1, 2, 1, 2)",[Superius],94,1.0,744.0,1,"[8.0, 40.0, 8.0]",ID
166,Ave Maria,15,"(1, 1, 2, 1, 2)","(1, 1, 2, 1, 2)",Tenor,94,3.0,752.0,2,"[8.0, 40.0, 8.0]",ID
165,Ave Maria,15,"(1, 1, 2, 1, 2)","(1, 1, 2, 1, 2)",[Superius],98,1.0,792.0,3,"[8.0, 40.0, 8.0]",ID
167,Ave Maria,15,"(1, 1, 2, 1, 2)","(1, 1, 2, 1, 2)",Tenor,98,3.0,800.0,4,"[8.0, 40.0, 8.0]",ID
9,Ave Maria,16,"(1, 1, 2, 2, -3)","(1, 1, 2, 2, -3)",[Superius],16,3.0,124.0,1,"[16.0, 16.0, 16.0]",PEN
10,Ave Maria,16,"(1, 1, 2, 2, -3)","(1, 1, 2, 2, -3)",Altus,18,3.0,140.0,2,"[16.0, 16.0, 16.0]",PEN
11,Ave Maria,16,"(1, 1, 2, 2, -3)","(1, 1, 2, 2, -3)",Tenor,20,3.0,156.0,3,"[16.0, 16.0, 16.0]",PEN
12,Ave Maria,16,"(1, 1, 2, 2, -3)","(1, 1, 2, 2, -3)",Bassus,22,3.0,172.0,4,"[16.0, 16.0, 16.0]",PEN
51,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Altus,33,1.0,256.0,1,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
59,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Bassus,37,1.0,288.0,2,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
56,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Tenor,41,1.0,320.0,3,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
47,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",[Superius],41,1.0,320.0,4,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
48,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",[Superius],84,3.0,668.0,5,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
52,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Altus,94,2.0,748.0,6,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
53,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Altus,98,2.0,796.0,7,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
49,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",[Superius],112,3.0,948.0,8,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
57,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Tenor,115,1.0,976.0,9,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
54,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Altus,116,4.0,982.0,10,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
50,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",[Superius],120,3.0,1012.0,11,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
