,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
108,"(2, -2, -2, -2, 2)","[2, -2, -2, -2, 2]",Ave Maria,[Superius],50,3.0,396.0,33.0,Fuga,[8.0],1
109,"(2, -2, -2, -2, 2)","[2, -2, -2, -2, 2]",Ave Maria,[Superius],51,3.0,404.0,33.0,Fuga,[8.0],2
32,"(2, -2, 1, -2, 2)","[2, -2, 1, -2, 2]",Ave Maria,[Superius],33,3.0,260.0,34.0,Fuga,"[28.0, 4.0]",1
33,"(2, -2, 1, -2, 2)","[2, -2, 1, -2, 2]",Ave Maria,Altus,37,1.0,288.0,34.0,Fuga,"[28.0, 4.0]",2
36,"(2, -2, 1, -2, 2)","[2, -2, 1, -2, 2]",Ave Maria,Tenor,37,3.0,292.0,34.0,Fuga,"[28.0, 4.0]",3
34,"(2, -2, 1, -2, 2)","[2, -2, 1, -2, 2]",Ave Maria,Altus,79,3.0,628.0,35.0,Fuga,[24.0],1
37,"(2, -2, 1, -2, 2)","[2, -2, 1, -2, 2]",Ave Maria,Bassus,82,3.0,652.0,35.0,Fuga,[24.0],2
217,"(2, -2, 2, -3, 2)","[2, -2, 2, -3, 2]",Ave Maria,Bassus,49,3.0,388.0,36.0,ID,"[2.0, 8.0, 2.0]",1
215,"(2, -2, 2, -3, 2)","[2, -2, 2, -3, 2]",Ave Maria,Tenor,49,4.0,390.0,36.0,ID,"[2.0, 8.0, 2.0]",2
218,"(2, -2, 2, -3, 2)","[2, -2, 2, -3, 2]",Ave Maria,Bassus,50,4.0,398.0,36.0,ID,"[2.0, 8.0, 2.0]",3
216,"(2, -2, 2, -3, 2)","[2, -2, 2, -3, 2]",Ave Maria,Tenor,51,1.0,400.0,36.0,ID,"[2.0, 8.0, 2.0]",4
133,"(2, -3, -2, -2, 1)","[2, -3, -2, -2, 1]",Ave Maria,[Superius],56,1.0,440.0,37.0,ID,"[4.0, 36.0, 4.0]",1
134,"(2, -3, -2, -2, 1)","[2, -3, -2, -2, 1]",Ave Maria,Altus,56,3.0,444.0,37.0,ID,"[4.0, 36.0, 4.0]",2
135,"(2, -3, -2, -2, 1)","[2, -3, -2, -2, 1]",Ave Maria,Tenor,61,1.0,480.0,37.0,ID,"[4.0, 36.0, 4.0]",3
136,"(2, -3, -2, -2, 1)","[2, -3, -2, -2, 1]",Ave Maria,Bassus,61,3.0,484.0,37.0,ID,"[4.0, 36.0, 4.0]",4
148,"(2, -3, 2, -2, -2)","[2, -3, 2, -2, -2]",Ave Maria,[Superius],65,3.0,516.0,38.0,ID,"[16.0, 8.0, 16.0]",1
150,"(2, -3, 2, -2, -2)","[2, -3, 2, -2, -2]",Ave Maria,Altus,67,3.0,532.0,38.0,ID,"[16.0, 8.0, 16.0]",2
152,"(2, -3, 2, -2, -2)","[2, -3, 2, -2, -2]",Ave Maria,Tenor,68,3.0,540.0,38.0,ID,"[16.0, 8.0, 16.0]",3
