Pattern Generating Match,Classification Type,EMA,EMA url,Soggetti 1 Part,Soggetti 1 Measure,Soggetti 2 Part,Soggetti 2 Measure,Soggetti 3 Part,Soggetti 3 Measure,Soggetti 4 Part,Soggetti 4 Measure
"[-2, -2, -2, -2]",periodic_entry,"38-39,38-39,39-39,39-39/1,1,1,1,1,1/@2.0-end,@start-4.0,@2.5-end,@start-4.5,@3.0-end,@start-5.0,@3.5-end,@start-5.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],38,[Superius],38,[Superius],39,[Superius],39
"[-2, -2, -2, -2]",periodic entry,"38-39,39-39,39-39/1,1,1,1/@2.5-end,@start-4.5,@3.0-end,@start-5.0,@3.5-end,@start-5.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],38,[Superius],39,[Superius],39
"[3, 1, 2, 2]",fuga,"17-19,17-19,25-25,25-26/1,1,1,4,4,4,1,1,1/@3.0-end,@start-end,@start-3.0,@3.0-end,@start-end,@start-3.0,@4.0-end,@start-6.5,@5.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],17,[Bassus],17,[Superius],25,[Superius],25
"[2, 2, 2, 2]",periodic entry,"25-25,25-26,33-33,33-34/1,1,1,1,1,1/@4.0-end,@start-6.5,@5.0-end,@start-7.0,@4.0-end,@start-6.5,@5.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],25,[Superius],25,[Superius],33,[Superius],33
"[2, 2, 2, 2]",fuga,"33-33,33-34,53-53,53-54/1,1,1,1,3,3/@4.0-end,@start-6.5,@5.0-end,@start-7.0,@1.5-end,@start-4.0,@3.5-end,@start-2.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],33,[Superius],33,[Superius],53,[Tenor],53
"[2, 2, -3, -2]",fuga,"4-5,4-5,27-28,28-29/1,1,4,4,2,2,1,1/@5.0-end,@start-1.0,@7.0-end,@start-3.0,@5.0-end,@start-1.0,@8.5-end,@start-3.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],4,[Bassus],4,[Contratenor],27,[Superius],28
"[1, 2, -2, -2]",fuga,"27-28,28-29,29-30/2,2,1,1,1,1/@5.0-end,@start-1.0,@8.5-end,@start-3.5,@6.0-end,@start-2.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],27,[Superius],28,[Superius],29
"[2, 1, -2, -2]",fuga,"28-29,29-30,35-36/1,1,1,1,2,2/@8.5-end,@start-3.5,@6.0-end,@start-2.0,@5.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],28,[Superius],29,[Contratenor],35
"[2, 3, -2, -2]",fuga,"29-30,35-36,36-37/1,1,2,2,1,1/@6.0-end,@start-2.0,@5.0-end,@start-1.0,@8.5-end,@start-3.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],29,[Contratenor],35,[Superius],36
"[1, 2, -2, -2]",fuga,"35-36,36-37,37-38/2,2,1,1,1,1/@5.0-end,@start-1.0,@8.5-end,@start-3.5,@6.0-end,@start-2.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],35,[Superius],36,[Superius],37
"[2, 1, -2, -2]",fuga,"36-37,37-38,53-54,54-55/1,1,1,1,3,3,1,1/@8.5-end,@start-3.5,@6.0-end,@start-2.0,@4.5-end,@start-4.0,@2.5-end,@start-1.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],36,[Superius],37,[Tenor],53,[Superius],54
"[2, -2, -2, 1]",fuga,"48-49,50-51,54-55/1,1,3,3,3,3/@3.0-end,@start-2.0,@4.0-end,@start-4.0,@1.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],48,[Tenor],50,[Tenor],54
"[-2, -2, 2, -2]",fuga,"5-6,7-8,23-24,23-24/3,3,3,3,3,3,2,2/@1.0-end,@start-5.0,@3.5-end,@start-7.0,@4.0-end,@start-8.0,@4.5-end,@start-8.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],5,[Tenor],7,[Tenor],23,[Contratenor],23
"[-2, -3, 1, -2]",fuga,"23-24,23-24,30-31,38-39/3,3,2,2,3,3,3,3/@4.0-end,@start-8.0,@4.5-end,@start-8.0,@2.5-end,@start-5.0,@2.5-end,@start-5.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],23,[Contratenor],23,[Tenor],30,[Tenor],38
"[-2, -2, 2, -2]",fuga,"30-31,38-39,45-46,48-49/3,3,3,3,1,1,1,1/@2.5-end,@start-5.0,@2.5-end,@start-5.0,@2.0-end,@start-2.0,@4.0-end,@start-4.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],30,[Tenor],38,[Superius],45,[Superius],48
"[2, -2, 2, -2]",imitative duo,"22-23,22-23,71-72,71-72/2,2,3,3,2,2,3,3/@7.0-end,@start-4.5,@7.0-end,@start-4.0,@1.0-end,@start-3.0,@1.0-end,@start-3.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],22,[Tenor],22,[Contratenor],71,[Tenor],71
"[-2, 2, -2, -2]",fuga,"22-23,22-23,31-31,39-39/2,2,3,3,3,3/@8.0-end,@start-5.0,@8.0-end,@start-5.0,@3.0-end,@start-6.5,@3.0-end,@start-6.5",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],22,[Tenor],22,[Tenor],31,[Tenor],39
"[1, -3, 1, 1]",fuga,"26-27,34-35,41-42,41-42/2,2,2,2,2,2,3,3/@7.0-end,@start-5.0,@7.0-end,@start-5.0,@1.0-end,@start-1.0,@1.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],26,[Contratenor],34,[Contratenor],41,[Tenor],41
"[1, -2, 1, 2]",fuga,"41-42,41-42,50-51,51-52/2,2,3,3,1,1,2,2/@1.0-end,@start-1.0,@1.0-end,@start-1.0,@4.0-end,@start-4.0,@1.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],41,[Tenor],41,[Superius],50,[Contratenor],51
"[1, -2, 1, 2]",imitative duo,"41-42,41-42,62-63,62-63/2,2,3,3,1,1,3,3/@1.0-end,@start-1.0,@1.0-end,@start-1.0,@3.0-end,@start-1.0,@3.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],41,[Tenor],41,[Superius],62,[Tenor],62
"[1, 2, -2, -2]",imitative duo,"27-28,28-29,35-36,36-37/2,2,1,1,2,2,1,1/@5.0-end,@start-1.0,@8.5-end,@start-3.5,@5.0-end,@start-1.0,@8.5-end,@start-3.5",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],27,[Superius],28,[Contratenor],35,[Superius],36
"[1, -2, -3, 2]",fuga,"14-16,15-16,15-16/3,3,3,1,1,4,4/@1.0-end,@start-end,@start-7.0,@3.0-end,@start-1.0,@3.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],14,[Superius],15,[Bassus],15
"[1, -2, -3, 2]",fuga,"15-16,15-16,50-51,54-55/1,1,4,4,3,3,3,3/@3.0-end,@start-1.0,@3.0-end,@start-1.0,@4.0-end,@start-4.0,@1.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],15,[Bassus],15,[Tenor],50,[Tenor],54
"[-2, 2, -2, -2]",fuga,"22-23,22-23,31-31,39-39/2,2,3,3,3,3/@8.0-end,@start-5.0,@8.0-end,@start-5.0,@3.0-end,@start-6.5,@3.0-end,@start-6.5",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],22,[Tenor],22,[Tenor],31,[Tenor],39
"[1, -3, 1, 1]",fuga,"26-27,34-35,50-51,50-51/2,2,2,2,1,1,4,4/@7.0-end,@start-5.0,@7.0-end,@start-5.0,@4.0-end,@start-4.0,@4.0-end,@start-4.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],26,[Contratenor],34,[Superius],50,[Bassus],50
"[1, 1, 1, 2]",fuga,"6-7,6-7,9-11,11-13/3,3,2,2,3,3,3,2,2,2/@5.0-end,@start-3.0,@7.0-end,@start-4.0,@3.0-end,@start-end,@start-1.0,@3.0-end,@start-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],6,[Contratenor],6,[Tenor],9,[Contratenor],11
"[1, 1, 1, 2]",fuga,"9-11,11-13,27-28,28-29/3,3,3,2,2,2,2,2,4,4/@3.0-end,@start-end,@start-1.0,@3.0-end,@start-end,@start-1.0,@3.0-end,@start-7.0,@1.0-end,@start-5.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],9,[Contratenor],11,[Contratenor],27,[Bassus],28
"[1, 1, 1, 2]",fuga,"27-28,28-29,31-32/2,2,4,4,4,4/@3.0-end,@start-7.0,@1.0-end,@start-5.0,@3.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],27,[Bassus],28,[Bassus],31
"[1, 2, 1, 2]",fuga,"28-29,31-32,35-36/4,4,4,4,2,2/@1.0-end,@start-5.0,@3.0-end,@start-7.0,@3.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],28,[Bassus],31,[Contratenor],35
"[1, 2, 1, 2]",fuga,"31-32,35-36,36-37/4,4,2,2,4,4/@3.0-end,@start-7.0,@3.0-end,@start-7.0,@1.0-end,@start-5.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],31,[Contratenor],35,[Bassus],36
"[1, 2, -2, -2]",imitative duo,"27-28,30-31,35-36,38-39/2,2,3,3,2,2,3,3/@5.0-end,@start-1.0,@7.0-end,@start-3.0,@5.0-end,@start-1.0,@7.0-end,@start-3.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],27,[Tenor],30,[Contratenor],35,[Tenor],38
"[1, 3, -2, -2]",fuga,"30-31,35-36,38-39/3,3,2,2,3,3/@7.0-end,@start-3.0,@5.0-end,@start-1.0,@7.0-end,@start-3.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],30,[Contratenor],35,[Tenor],38
