,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
970,"(2, 2, -3, 2, 2, 2)",0.25,Ave Maria,Ave Maria,[Superius],[Superius],45,47,48,50
972,"(2, 2, -3, 2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,45,44,48,47
973,"(2, 2, -3, 2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,45,46,48,49
978,"(2, 2, -3, 2, 2, 2)",0.25,Ave Maria,Ave Maria,[Superius],Tenor,47,44,50,47
979,"(2, 2, -3, 2, 2, 2)",0.25,Ave Maria,Ave Maria,[Superius],Tenor,47,46,50,49
985,"(2, 2, -3, 2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,128,130,131,133
986,"(2, 2, -3, 2, 2, 2)",0.5,Ave Maria,Ave Maria,[Superius],Bassus,128,45,131,48
988,"(2, 2, -3, 2, 2, 2)",0.0,Ave Maria,Ave Maria,Tenor,Tenor,44,46,47,49
995,"(2, 2, -3, 2, 2, 2)",0.5,Ave Maria,Ave Maria,Tenor,Bassus,130,45,133,48
997,"(2, 2, -3, 2, 2, 2)",0.75,Ave Maria,Ave Maria,Bassus,Bassus,45,47,48,50
1014,"(2, 2, -2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,41,41,44,44
1022,"(2, 2, -2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,94,98,96,100
1026,"(2, 2, -2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,94,134,96,136
1031,"(2, 2, -2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,98,134,100,136
1037,"(2, 2, -2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,116,124,117,125
1048,"(2, 2, -2, 1, -2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Altus,33,79,35,81
1049,"(2, 2, -2, 1, -2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Altus,33,85,35,87
1050,"(2, 2, -2, 1, -2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,33,37,35,39
1051,"(2, 2, -2, 1, -2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Bassus,33,82,35,84
1061,"(2, 2, -2, 1, -2, 2)",1.0,Ave Maria,Ave Maria,Altus,Altus,79,85,81,87
1062,"(2, 2, -2, 1, -2, 2)",0.0,Ave Maria,Ave Maria,Altus,Tenor,79,37,81,39
1063,"(2, 2, -2, 1, -2, 2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,79,82,81,84
1064,"(2, 2, -2, 1, -2, 2)",1.0,Ave Maria,Ave Maria,Altus,Tenor,85,37,87,39
1065,"(2, 2, -2, 1, -2, 2)",1.0,Ave Maria,Ave Maria,Altus,Bassus,85,82,87,84
1066,"(2, 2, -2, 1, -2, 2)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,37,82,39,84
1069,"(2, 2, -2, 2, -3, 1)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,49,49,51,51
1072,"(2, 2, -2, 2, -3, 2)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,49,49,51,51
1073,"(2, 2, -2, 2, 2, 2)",0.25,Ave Maria,Ave Maria,[Superius],[Superius],45,47,48,50
1075,"(2, 2, -2, 2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,45,44,48,47
1076,"(2, 2, -2, 2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,45,46,48,49
1081,"(2, 2, -2, 2, 2, 2)",0.25,Ave Maria,Ave Maria,[Superius],Tenor,47,44,50,47
1082,"(2, 2, -2, 2, 2, 2)",0.25,Ave Maria,Ave Maria,[Superius],Tenor,47,46,50,49
1088,"(2, 2, -2, 2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,128,130,131,133
1089,"(2, 2, -2, 2, 2, 2)",0.5,Ave Maria,Ave Maria,[Superius],Bassus,128,45,131,48
1091,"(2, 2, -2, 2, 2, 2)",0.0,Ave Maria,Ave Maria,Tenor,Tenor,44,46,47,49
1098,"(2, 2, -2, 2, 2, 2)",0.5,Ave Maria,Ave Maria,Tenor,Bassus,130,45,133,48
1100,"(2, 2, -2, 2, 2, 2)",0.75,Ave Maria,Ave Maria,Bassus,Bassus,45,47,48,50
1107,"(2, 2, 1, 2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,32,36,34,38
1108,"(2, 2, 1, 2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,115,123,117,125
1111,"(2, 2, 1, 2, -2, 1)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,32,36,34,38
1112,"(2, 2, 2, -3, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],44,46,47,49
1115,"(2, 2, 2, -3, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Tenor,44,44,47,47
1116,"(2, 2, 2, -3, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,44,46,47,49
1122,"(2, 2, 2, -3, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Tenor,46,44,49,47
1123,"(2, 2, 2, -3, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,46,46,49,49
1135,"(2, 2, 2, -3, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,127,129,130,132
1136,"(2, 2, 2, -3, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Bassus,127,44,130,47
1137,"(2, 2, 2, -3, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Bassus,127,46,130,49
1138,"(2, 2, 2, -3, 2, 2)",1.0,Ave Maria,Ave Maria,Tenor,Tenor,44,46,47,49
1145,"(2, 2, 2, -3, 2, 2)",1.0,Ave Maria,Ave Maria,Tenor,Bassus,129,44,132,47
1146,"(2, 2, 2, -3, 2, 2)",1.0,Ave Maria,Ave Maria,Tenor,Bassus,129,46,132,49
1147,"(2, 2, 2, -3, 2, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,44,46,47,49
1148,"(2, 2, 2, -2, 2, -3)",1.0,Ave Maria,Ave Maria,Tenor,Bassus,48,48,51,50
1149,"(2, 2, 2, -2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],44,46,47,49
1152,"(2, 2, 2, -2, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Tenor,44,44,47,47
1153,"(2, 2, 2, -2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,44,46,47,49
1159,"(2, 2, 2, -2, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Tenor,46,44,49,47
1160,"(2, 2, 2, -2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,46,46,49,49
1172,"(2, 2, 2, -2, 2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,127,129,130,132
1173,"(2, 2, 2, -2, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Bassus,127,44,130,47
1174,"(2, 2, 2, -2, 2, 2)",1.0,Ave Maria,Ave Maria,[Superius],Bassus,127,46,130,49
1175,"(2, 2, 2, -2, 2, 2)",1.0,Ave Maria,Ave Maria,Tenor,Tenor,44,46,47,49
1182,"(2, 2, 2, -2, 2, 2)",1.0,Ave Maria,Ave Maria,Tenor,Bassus,129,44,132,47
1183,"(2, 2, 2, -2, 2, 2)",1.0,Ave Maria,Ave Maria,Tenor,Bassus,129,46,132,49
1184,"(2, 2, 2, -2, 2, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,44,46,47,49
1191,"(2, 2, 2, 2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,32,36,34,38
1192,"(2, 2, 2, 2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,115,123,117,125
1197,"(3, -2, -2, -2, 2, 2)",0.5,Ave Maria,Ave Maria,[Superius],Bassus,50,138,51,139
1200,"(3, 2, 2, 1, 2, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,31,35,34,38
1201,"(4, -2, -2, -2, -2, 1)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,103,104,105,106
1203,"(4, -2, 2, 2, -3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Altus,54,55,57,58
1204,"(4, -2, 2, 2, -3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,54,59,57,62
1205,"(4, -2, 2, 2, -3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Bassus,54,60,57,63
1206,"(4, -2, 2, 2, -3, -2)",0.0,Ave Maria,Ave Maria,Altus,Tenor,55,59,58,62
1207,"(4, -2, 2, 2, -3, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,55,60,58,63
1208,"(4, -2, 2, 2, -3, -2)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,59,60,62,63
1209,"(4, 1, -3, 1, 4, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,101,102,104,104
1212,"(5, -2, -2, 2, 2, -2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,116,124,118,126
1213,"(5, 1, 2, -2, 1, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,78,81,80,83
